code,building,drawing,sheet,floor,layer,direction,zone_text,zone_kind,x1_m,x2_m,y1_m,y2_m,axis,pano_ids,diameter_mm,spacing_cm,length_cm,classification,status,resolution,note,category,bar_count,level_start,level_end,orientation,lap_anchorage,face_edge,wall_parents,source,geometry_pending,record_type,section,bar_type,column_tags,n_columns,beam_id,axes_text,group,kind,longitudinal,stirrups,detail_reference,confidence,beam_ids,physical_bar_id,bar_layer,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,beam_kind,zone_type,count,part,notation,levels
LT2:300:06,LT2,2024_22-300-300-Model,300,,,,,,,,,,1',,,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,walls,,B1,L3,VERTICAL,,borde,,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:07,LT2,2024_22-300-300-Model,300,,,,,,,,,,1',,22,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,walls,,L3,ROOF,VERTICAL,,borde,,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:08,LT2,2024_22-300-300-Model,300,,,,,,,,,,1',,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,walls,,B1,ROOF,VERTICAL,,,,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:09,LT2,2024_22-300-300-Model,300,,,,,,,,,,1',,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,walls,,B1,ROOF,HORIZONTAL,,,,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:300:10,LT2,2024_22-300-300-Model,300,,,,,,,,,,1',,,,,LOCAL,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",walls,,B1,ROOF,VERTICAL,,,,EXACT_DRAWING,True,LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:301:01,LT2,2024_22-300-301-Model,301,,,,,,,,,,2,,,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,walls,,B1,L3,VERTICAL,,borde,,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:301:02,LT2,2024_22-300-301-Model,301,,,,,,,,,,2,,22,,,BOUNDARY,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,walls,,L3,ROOF,VERTICAL,,borde,,EXACT_DRAWING,True,BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:301:03,LT2,2024_22-300-301-Model,301,,,,,,,,,,2,,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,walls,,B1,ROOF,VERTICAL,,,,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:301:04,LT2,2024_22-300-301-Model,301,,,,,,,,,,2,,,,,DISTRIBUTED,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,walls,,B1,ROOF,HORIZONTAL,,,,EXACT_DRAWING,True,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT2:301:05,LT2,2024_22-300-301-Model,301,,,,,,,,,,2,,,,,LOCAL,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",walls,,B1,ROOF,VERTICAL,,,,EXACT_DRAWING,True,LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
